ProviderSymbol,ProviderName,ProviderGUID,ChannelSymbol,ChannelName,QueryPath,Query,TargetGroup,,,
DC_AM_UM1_EVENTS,Domain Controllers-Object Management-User1,{66A20C87-CD40-4464-9199-87A81CD03C73},DC_AM_UM1_CHANGED,Domain Controllers-Object Management-User1/User Changed,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4738)]]</Select>",Domain Controllers,A user account was changed.,,
DC_AM_UM1_EVENTS,Domain Controllers-Object Management-User1,{66A20C87-CD40-4464-9199-87A81CD03C73},DC_AM_UM1_CREATED,Domain Controllers-Object Management-User1/User Created,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4720)]]</Select>",Domain Controllers,A user account was created.,,
DC_AM_UM1_EVENTS,Domain Controllers-Object Management-User1,{66A20C87-CD40-4464-9199-87A81CD03C73},DC_AM_UM1_DELETED,Domain Controllers-Object Management-User1/User Deleted,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4726)]]</Select>",Domain Controllers,A user account was deleted.,,
DC_AM_UM1_EVENTS,Domain Controllers-Object Management-User1,{66A20C87-CD40-4464-9199-87A81CD03C73},DC_AM_UM1_DISABLED,Domain Controllers-Object Management-User1/User Disabled,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4725)]]</Select>",Domain Controllers,A user account was disabled.,,
DC_AM_UM1_EVENTS,Domain Controllers-Object Management-User1,{66A20C87-CD40-4464-9199-87A81CD03C73},DC_AM_UM1_ENABLED,Domain Controllers-Object Management-User1/User Enabled,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4722)]]</Select>",Domain Controllers,A user account was enabled.,,
DC_AM_UM1_EVENTS,Domain Controllers-Object Management-User1,{66A20C87-CD40-4464-9199-87A81CD03C73},DC_AM_UM1_PASSWORDCHANGED,Domain Controllers-Object Management-User1/User Password Changed,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4723)]]</Select>",Domain Controllers,An attempt was made to change an account's password.,,
DC_AM_UM1_EVENTS,Domain Controllers-Object Management-User1,{66A20C87-CD40-4464-9199-87A81CD03C73},DC_AM_UM1_PASSWORDRESET,Domain Controllers-Object Management-User1/User Password Reset,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4724)]]</Select>",Domain Controllers,An attempt was made to reset an account's password.,,
DC_AM_UM2_EVENTS,Domain Controllers-Object Management-User2,{A7976A01-C182-41B4-AE79-5120B444E8B5},DC_AM_UM2_ADMINSDHOLDER,Domain Controllers-Object Management-User2/User AdminSDHolder Applied,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4780)]]</Select>",Domain Controllers,The ACL was set on accounts which are members of administrators groups.,,
DC_AM_UM2_EVENTS,Domain Controllers-Object Management-User2,{A7976A01-C182-41B4-AE79-5120B444E8B5},DC_AM_UM2_DSRMCHANGED,Domain Controllers-Object Management-User2/DSRM Password Changed,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4794)]]</Select>",Domain Controllers,An attempt was made to set the Directory Services Restore Mode.,,
DC_AM_UM2_EVENTS,Domain Controllers-Object Management-User2,{A7976A01-C182-41B4-AE79-5120B444E8B5},DC_AM_UM2_LOCKEDOUT,Domain Controllers-Object Management-User2/User Locked Out,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4740)]]</Select>",Domain Controllers,A user account was locked out.,,
DC_AM_UM2_EVENTS,Domain Controllers-Object Management-User2,{A7976A01-C182-41B4-AE79-5120B444E8B5},DC_AM_UM2_SAMANCHANGED,Domain Controllers-Object Management-User2/User SAM Account Name Changed,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4781)]]</Select>",Domain Controllers,The name of an account was changed:,,
DC_AM_UM2_EVENTS,Domain Controllers-Object Management-User2,{A7976A01-C182-41B4-AE79-5120B444E8B5},DC_AM_UM2_SIDHISTORY,Domain Controllers-Object Management-User2/User SID History Changes,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4765)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4766)]]</Select>",Domain Controllers,SID History was added to an account.,4766,An attempt to add SID History to an account failed.
DC_AM_UM2_EVENTS,Domain Controllers-Object Management-User2,{A7976A01-C182-41B4-AE79-5120B444E8B5},DC_AM_UM2_UNLOCKED,Domain Controllers-Object Management-User2/User Unlocked,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4767)]]</Select>",Domain Controllers,A user account was unlocked.,,
DC_LL_LF_EVENTS,Domain Controllers-Logon-Failure,{0D2F6021-4853-4092-B688-FB9BC9330BB0},DC_LL_LF_BATCH,Domain Controllers-Logon-Failure/Logon Failure Batch (4),Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4625)]] and *[EventData[Data[@Name='LogonType']='4']]</Select>",,,,
